imdb_id,title,language,country,adult,genres,budget,revenue,release_date,runtime,popularity,avg_rating,people_rated
tt0114709,Toy Story,en,['US'],False,Adventure|Animation|Children|Comedy|Fantasy,30000000,394436586,1995-10-30,81,222.972,7.973,17821
tt0113041,Father of the Bride Part II,en,['US'],False,Comedy,0,76594107,1995-12-08,106,29.885,6.3,704
tt0113189,GoldenEye,en,['GB'],False,Action|Adventure|Thriller,58000000,352200000,1995-11-16,130,61.24,6.9,3703
tt0112896,Dracula: Dead and Loving It,en,['US'],False,Comedy|Horror,30000000,10772144,1995-12-22,88,36.808,6.07,938
tt0112453,Balto,en,['US'],False,Adventure|Animation|Children,31000000,11348324,1995-12-22,78,32.394,7.297,1974
tt0113987,Nixon,en,['US'],False,Drama,44000000,13681765,1995-12-22,192,31.958,6.912,340
tt0112760,Cutthroat Island,en,['US'],False,Action|Adventure|Romance,98000000,10017322,1995-12-22,124,39.46,5.801,516
tt0112641,Casino,en,['US'],False,Crime|Drama,50000000,116112375,1995-11-22,179,53.751,8.011,5571
tt0113101,Four Rooms,en,['US'],False,Comedy,4000000,4257354,1995-12-09,98,62.417,5.825,2554
tt0112281,Ace Ventura: When Nature Calls,en,['US'],False,Comedy,30000000,212385533,1995-11-10,90,37.744,6.3,3969
tt0113845,Money Train,en,['US'],False,Action|Comedy|Crime|Drama|Thriller,68000000,77224232,1995-11-21,110,36.291,5.8,723
tt0113161,Get Shorty,en,['US'],False,Comedy|Crime|Thriller,30250000,115101622,1995-10-20,105,32.994,6.463,985
tt0112722,Copycat,en,['US'],False,Crime|Drama|Horror|Mystery|Thriller,20000000,32000000,1995-10-27,124,70.246,6.5,901
tt0112401,Assassins,en,['BR'],False,Action|Crime|Thriller,50000000,30303072,1995-10-06,132,39.662,6.473,1485
tt0113627,Leaving Las Vegas,en,['US'],False,Drama|Romance,3600000,49800000,1995-10-27,111,35.522,7.26,1366
tt0114011,Now and Then,en,['US'],False,Children|Drama,12000000,27400000,1995-10-20,100,25.362,6.9,406
tt0112792,Dangerous Minds,en,['US'],False,Drama,23000000,179519401,1995-08-11,99,30.488,7.0,1102
tt0112431,Babe,en,"['AU', 'US', 'GB']",False,Children|Drama,30000000,254100000,1995-07-18,91,50.267,6.217,2775
tt0112697,Clueless,en,['US'],False,Comedy|Romance,12000000,56631572,1995-07-19,97,119.612,7.278,4207
tt0112819,Dead Presidents,en,['US'],False,Action|Crime|Drama,10000000,24100000,1995-09-29,119,25.908,6.7,275
tt0293429,Mortal Kombat,en,['US'],False,Action|Adventure|Fantasy,20000000,84426031,2021-04-07,110,68.482,7.049,5632
tt0113855,Mortal Kombat,en,['US'],False,Action|Adventure|Fantasy,18000000,122195920,1995-08-18,101,52.661,5.841,2180
tt0114681,To Die For,en,['US'],False,Comedy|Drama|Thriller,20000000,21300000,1995-09-22,106,29.687,6.585,739
tt0114148,Pocahontas,en,['US'],False,Animation|Children|Drama|Musical|Romance,55000000,346100000,1995-06-14,81,53.18,6.926,5487
tt0113819,Mighty Aphrodite,en,['US'],False,Comedy|Drama|Romance,15000000,6700000,1995-09-13,95,30.778,6.715,639
tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,en,['US'],False,Comedy|Crime,3800000,20100000,1996-01-12,89,60.287,6.985,1236
tt0115683,Bio-Dome,en,['US'],False,Comedy,8500000,13400000,1996-01-12,95,31.506,4.534,339
tt0113118,Friday,en,['US'],False,Comedy,3500000,28200000,1995-04-26,91,52.17,7.2,1709
tt0116367,From Dusk Till Dawn,en,['US'],False,Action|Comedy|Horror|Thriller,19000000,25800000,1996-01-19,108,75.592,7.021,5673
tt0117002,Mary Reilly,en,['US'],False,Drama|Horror|Thriller,47000000,12379402,1996-02-23,104,26.189,5.8,299
tt0115639,Beautiful Girls,en,['US'],False,Comedy|Drama|Romance,16000000,27000000,1996-02-09,112,33.921,6.63,338
tt0115907,City Hall,en,['US'],False,Drama|Thriller,0,0,1996-02-16,111,30.893,5.91,268
tt0116483,Happy Gilmore,en,['US'],False,Comedy,12000000,41205099,1996-02-16,92,50.048,6.6,2523
tt0112573,Braveheart,en,['US'],False,Action|Drama|War,72000000,213200000,1995-05-24,177,64.308,7.94,9754
tt14469386,Jade,en,['US'],False,Thriller,0,0,2024-02-16,0,242.18,5.842,19
tt0113451,Jade,en,['US'],False,Thriller,50000000,9851610,1995-10-13,95,31.298,5.404,251
tt0116130,Down Periscope,en,['US'],False,Comedy,0,37553585,1996-03-01,92,36.516,6.294,415
tt0112384,Apollo 13,en,['US'],False,Adventure|Drama|IMAX,52000000,355237933,1995-06-30,140,54.693,7.4,5202
tt0112462,Batman Forever,en,['US'],False,Action|Adventure|Comedy|Crime,100000000,336529144,1995-06-16,121,160.577,5.4,4961
tt0112642,Casper,en,['US'],False,Adventure|Children,50000000,287928194,1995-05-26,100,51.228,6.3,4445
tt0112688,Clockers,en,['US'],False,Crime|Drama|Mystery,25000000,13100000,1995-09-15,128,27.561,6.728,303
tt0112715,Congo,en,['US'],False,Action|Adventure|Mystery|Sci-Fi,50000000,152022101,1995-06-09,109,74.962,5.5,831
tt0112740,Crimson Tide,en,['US'],False,Drama|Thriller|War,53000000,157387195,1995-05-12,116,45.312,7.2,1661
tt0112851,Desperado,en,['US'],False,Action|Romance|Western,7000000,25400000,1995-08-25,104,45.508,6.931,2717
tt0113071,First Knight,en,['US'],False,Action|Drama|Romance,55000000,127600435,1995-07-07,134,38.435,6.1,1138
tt0113114,Free Willy 2: The Adventure Home,en,['US'],False,Adventure|Children|Drama,31000000,30000000,1995-07-19,95,25.273,5.9,559
tt0113243,Hackers,en,['US'],False,Action|Adventure|Crime|Thriller,20000000,7563728,1995-09-14,107,45.303,6.346,1216
tt0113481,Johnny Mnemonic,en,"['CA', 'US']",False,Action|Sci-Fi|Thriller,25000000,19075720,1995-05-26,97,41.025,5.748,1288
tt0113492,Judge Dredd,en,['US'],False,Action|Crime|Sci-Fi,90000000,113493481,1995-06-30,96,324.312,5.8,2298
tt0113500,Jury Duty,en,['US'],False,Comedy,0,17014653,1995-04-12,88,27.961,4.4,107
